link,tag
http://www.aitimes.com/news/articleView.html?idxno=132178,"5G,전자파,전자기파,전파,무선통신,이동통신,과기정통부"
http://www.aitimes.com/news/articleView.html?idxno=132179,
http://www.aitimes.com/news/articleView.html?idxno=132176,"과기정통부,IoT,AIoT"
http://www.aitimes.com/news/articleView.html?idxno=132175,"화웨이,통신장비,5G,에릭슨"
http://www.aitimes.com/news/articleView.html?idxno=132173,"LG,LG사이언스파크,A3MD,신소재개발,화학소재"
http://www.aitimes.com/news/articleView.html?idxno=132174,"ARM,엔비디아,소프트뱅크,젠슨황"
http://www.aitimes.com/news/articleView.html?idxno=132075,
http://www.aitimes.com/news/articleView.html?idxno=132159,GPT-3
http://www.aitimes.com/news/articleView.html?idxno=132170,
http://www.aitimes.com/news/articleView.html?idxno=132153,"오라클,IaaS,IDC,클라우드,클라우드서비스,줌,SaaS"
http://www.aitimes.com/news/articleView.html?idxno=132168,
http://www.aitimes.com/news/articleView.html?idxno=132163,"과학기술정보통신부,디지털뉴딜,양자암호통신,K-사이버방역,정보통신기술,ICT"
http://www.aitimes.com/news/articleView.html?idxno=132167,
http://www.aitimes.com/news/articleView.html?idxno=132166,"패밀리특허,한국지식재산연구원,한국전자통신연구원,ETRI,5G,AI,디지털뉴딜"
http://www.aitimes.com/news/articleView.html?idxno=132164,"국토교통부,디지털,도로망,지능형교통체계,ITS,차세대지능형교통체계,C-ITS"
http://www.aitimes.com/news/articleView.html?idxno=132162,
http://www.aitimes.com/news/articleView.html?idxno=132161,
http://www.aitimes.com/news/articleView.html?idxno=132158,
http://www.aitimes.com/news/articleView.html?idxno=132146,
