link,tag
http://www.aitimes.com/news/articleView.html?idxno=132188,"엔비디아,ARM,소프트뱅크,GPU,CPU,반도체"
http://www.aitimes.com/news/articleView.html?idxno=132185,
http://www.aitimes.com/news/articleView.html?idxno=132180,
http://www.aitimes.com/news/articleView.html?idxno=132178,"5G,전자파,전자기파,전파,무선통신,이동통신,과기정통부"
http://www.aitimes.com/news/articleView.html?idxno=132179,
http://www.aitimes.com/news/articleView.html?idxno=132176,"과기정통부,IoT,AIoT"
http://www.aitimes.com/news/articleView.html?idxno=132175,"화웨이,통신장비,5G,에릭슨"
http://www.aitimes.com/news/articleView.html?idxno=132173,"LG,LG사이언스파크,A3MD,신소재개발,화학소재"
http://www.aitimes.com/news/articleView.html?idxno=132174,"ARM,엔비디아,소프트뱅크,젠슨황"
http://www.aitimes.com/news/articleView.html?idxno=132075,
http://www.aitimes.com/news/articleView.html?idxno=132159,GPT-3
http://www.aitimes.com/news/articleView.html?idxno=132170,
http://www.aitimes.com/news/articleView.html?idxno=132153,"오라클,IaaS,IDC,클라우드,클라우드서비스,줌,SaaS"
http://www.aitimes.com/news/articleView.html?idxno=132168,
http://www.aitimes.com/news/articleView.html?idxno=132163,"과학기술정보통신부,디지털뉴딜,양자암호통신,K-사이버방역,정보통신기술,ICT"
http://www.aitimes.com/news/articleView.html?idxno=132167,
http://www.aitimes.com/news/articleView.html?idxno=132166,"패밀리특허,한국지식재산연구원,한국전자통신연구원,ETRI,5G,AI,디지털뉴딜"
http://www.aitimes.com/news/articleView.html?idxno=132164,"국토교통부,디지털,도로망,지능형교통체계,ITS,차세대지능형교통체계,C-ITS"
http://www.aitimes.com/news/articleView.html?idxno=132162,
http://www.aitimes.com/news/articleView.html?idxno=132161,
http://www.aitimes.com/news/articleView.html?idxno=132158,
http://www.aitimes.com/news/articleView.html?idxno=132146,
http://www.aitimes.com/news/articleView.html?idxno=132160,
http://www.aitimes.com/news/articleView.html?idxno=132152,"과학기술정보통신부,한국판뉴딜,디지털뉴딜,와이파이,WiFi,KT,SKT,LGU+"
http://www.aitimes.com/news/articleView.html?idxno=132155,"MS,딥스피드"
http://www.aitimes.com/news/articleView.html?idxno=132150,
http://www.aitimes.com/news/articleView.html?idxno=132148,"데이터라벨링,딥네츄럴,자연어처리,NLP,데이터가공"
http://www.aitimes.com/news/articleView.html?idxno=132135,"데이터,네트워크,인공지능,Data,Network,AI,시큐웍스,테크하임"
http://www.aitimes.com/news/articleView.html?idxno=132141,
http://www.aitimes.com/news/articleView.html?idxno=132140,
http://www.aitimes.com/news/articleView.html?idxno=132112,
http://www.aitimes.com/news/articleView.html?idxno=132113,"브이리뷰,Vreview,인덴트코퍼레이션,챗봇,영상후기,구매후기동영상,위젯"
http://www.aitimes.com/news/articleView.html?idxno=132133,
http://www.aitimes.com/news/articleView.html?idxno=132110,
http://www.aitimes.com/news/articleView.html?idxno=132124,
http://www.aitimes.com/news/articleView.html?idxno=132126,
http://www.aitimes.com/news/articleView.html?idxno=132130,"오픈AI,자연어AI,GPT-3,T5"
http://www.aitimes.com/news/articleView.html?idxno=132111,"과학기술정보통신부,산업통상자원부,지능형반도체,인공지능반도체,AI반도체,D.N.A,디지털뉴딜"
http://www.aitimes.com/news/articleView.html?idxno=132127,
http://www.aitimes.com/news/articleView.html?idxno=132117,"한국기계연구원,KIMM,모듈형,로봇,인공지능,AI,매니퓰레이터"
http://www.aitimes.com/news/articleView.html?idxno=132115,
http://www.aitimes.com/news/articleView.html?idxno=132116,"네이버,연세대학교,MOU,협약식,상호협약,SW,HW,온라인협약,교육과정공동개발"
http://www.aitimes.com/news/articleView.html?idxno=132093,"디지털헬스,원격진료,원격의료,모바일헬스케어,AI헬스케어,데이터,네트워크,인공지능,AI,정보통신기획평가원,IITP"
http://www.aitimes.com/news/articleView.html?idxno=132109,
http://www.aitimes.com/news/articleView.html?idxno=132072,"AI동향,AI 정보"
http://www.aitimes.com/news/articleView.html?idxno=132094,
http://www.aitimes.com/news/articleView.html?idxno=132100,
http://www.aitimes.com/news/articleView.html?idxno=132090,
http://www.aitimes.com/news/articleView.html?idxno=132092,"삼성SDS,디지털트랜스포메이션,REAL2020,AI워커,AI어시스턴트,RPA,업무자동화,브리티RPA"
http://www.aitimes.com/news/articleView.html?idxno=132088,"빅데이터거래소,베이징"
http://www.aitimes.com/news/articleView.html?idxno=132086,
http://www.aitimes.com/news/articleView.html?idxno=132070,"챗봇,가상연인,AI연인,NLG,NLU,DM,BM,마인드로직,가상남녀,구글어시스턴트"
http://www.aitimes.com/news/articleView.html?idxno=132083,
http://www.aitimes.com/news/articleView.html?idxno=132063,"한국전자통신연구원,ETRI,ATSC 3.0,전파,중계기"
http://www.aitimes.com/news/articleView.html?idxno=132068,
http://www.aitimes.com/news/articleView.html?idxno=132071,
http://www.aitimes.com/news/articleView.html?idxno=132073,
http://www.aitimes.com/news/articleView.html?idxno=132061,"스타트업,신규투자,시드펀딩,D2SF,네이버,3D,애니메이션"
http://www.aitimes.com/news/articleView.html?idxno=132064,
http://www.aitimes.com/news/articleView.html?idxno=132062,
http://www.aitimes.com/news/articleView.html?idxno=132065,"드론,인스페이스,한컴,한글과컴퓨터,위성지상국"
